transaction_id,transaction_date,transaction_status,user_id,transaction_amount
P92NFQ30EPTC681VJZ481OCLA53507,21-08-2021,success,VF003C360,158
O21ROQ19MUKO201IKV279HZFL06823,20-08-2021,success,IE884L371,623
B28XVQ42JAUZ843WWE244SSZV07982,28-01-2021,success,CD236W445,60
J39OIE71AZAY011CWU937SOGI15384,08-05-2021,success,KP629H711,1429
T88XIA20NYIO511BQS737TCEN65007,18-12-2021,success,IS435E337,1378
D17AXA88OUMX789SNA213IVKQ87247,28-10-2021,success,ZV365G358,1363
R69FPI26TMZA124ZVB102PNBO27238,23-01-2021,success,UG184I775,1420
R05SGA33FEBS086GTZ714WURI12909,15-08-2021,success,HJ683O318,455
X72PZZ21SFTZ027PLN582VQUJ03152,08-06-2021,success,XC661G681,482
Z98ZXL49BXXP927DMI615GMJW64594,08-08-2021,success,LD359E820,1000
N84SRW99YADA613MEJ795VCTG72491,13-01-2021,success,SH947S670,94
E95QHR40ULVA601CTB631GJSO63233,06-12-2021,success,VF396Q607,764
Q21BCI16SHVF982DQP006CVBA07160,08-10-2021,success,TL202E457,325
C63LFG09VIUS157FXH302EOHZ52609,03-05-2021,success,RA627K655,469
M43BRD80SILL521ZFM853GRQK05468,29-10-2021,success,IT065U317,646
R43HBI05TFFQ068IFL459DJRH59817,17-03-2021,success,VF396Q607,1467
E81AAT81CENE708TFO966BSZS45247,11-02-2021,success,RG917D984,1051
U36EXB68RCUY193VCR116FQVS69553,15-04-2021,success,ZA619Y077,351
S18QXW87ZZTR757RNP658LXCP30590,15-04-2021,success,SO176P640,1207
F44LSG42WBAS196FBN283TLKC76679,11-02-2021,success,JV111E384,1010
N61BJR13BJWM300ZIY148WZKR41546,08-05-2021,success,DB055F833,6
K81JFD68IZNX997CAJ363HSUF11629,26-01-2021,success,DD930T608,1055
F58IDI81NXKS574BGY108GKYL85030,29-03-2021,success,VB937X658,135
B48HQU78OACE505EJE381WQHE71520,04-06-2021,success,YD712U986,272
C23HTT82CBHR934ABH296FTZB28186,21-10-2021,success,VT276P210,1399
O17PAX17DSUX416QKT737JACZ50323,03-10-2021,success,TK520G300,1433
Y70IPZ93LFQV593YPV398UHHF61317,13-10-2021,success,ST154D242,1349
B80UCQ21OJIB268WRO053ZSLB02400,29-09-2021,success,ZP563J122,635
T15RGM20RISJ006EGJ366HNNA48837,29-04-2021,success,HO293N280,1489
I66OMV89OYDL391XHK570NTQR06717,10-05-2021,success,RA627K655,1361
H12RTD01NBNM872XSX436ICJQ16860,14-06-2021,success,AY370B474,1036
M78VDV82WMKI628JGV610WDGE38948,10-10-2021,success,MQ908H184,978
V20SUT76NXUT925WPQ068WHHG94269,24-08-2021,success,EN304H974,831
F57MVG86GVSK459MHW459RMZN58088,02-11-2021,success,RI177C089,1188
X07BAH22PILA501PQR056WNSN01387,03-01-2021,success,JM091Z485,1200
L72DIF45OGIA832DNB422XQMW78332,31-01-2021,success,HT389I373,1222
K99XLD86UFXM808DSQ979CVYW86509,25-09-2021,success,PL129R175,1400
X49YIL61UKBJ445SEF039VEGB24289,06-03-2021,success,VU380J665,805
A69QQR52IPWD256YAZ302GJTV85742,25-12-2021,success,ST154D242,1338
L37QGS68ETXR570XKK681KBRF28020,02-06-2021,success,AG094K007,1031
P95CDQ17HUBT413NLN342OYKX97104,04-10-2021,success,BE863M528,1483
U03ZTT58KXBI344NMQ165UNQW52845,19-07-2021,success,IV873P654,657
Z67RAW26UWXD280WEO481QPPA99617,02-08-2021,success,JU146N698,744
I24ASL65BZUL220ILI068IPFV10347,11-02-2021,success,CN802W282,1143
Z50LJZ21AJHX438BIO889WKZY91897,07-07-2021,success,SX949E266,877
X96OQT53FKSP425FWW663VVWM26731,25-05-2021,success,XB621E537,909
W04QPZ54DWJM704EBF372ERQB40541,23-08-2021,success,OW430H006,177
N38VIM45FTPT450TYZ541JSWQ00202,13-12-2021,success,YT580N616,21
X14YKJ81GFZP519VZF536IFGL27854,30-09-2021,success,RX624I496,669
Q30SRA31VNBS692HAX153QDFF02461,28-09-2021,success,OY075V727,42
L15HTM82ACOZ936DMR275VKHV33901,28-06-2021,success,QS374J978,387
X02DSO34YZOW734HHH040CHAC62125,24-09-2021,success,AA462R669,1247
I61DHE11LGRP290KDB166FFET40073,12-02-2021,success,DN677C680,577
L21TEP94UNDW783BMK350YEJV18148,09-10-2021,success,UT937I192,445
W17YSS06LJQL535NKM230JKZH32720,09-09-2021,success,GI743M359,1258
P79IQX86OSOV867IPI083RMMA27238,01-10-2021,success,CD236W445,389
K62HKA33BYEA327ASP469GDOC64502,26-11-2021,success,ZW458A642,506
U61TFT08GBEW839CQZ460CNLN45398,03-01-2021,success,HZ606P556,754
B19RVL11QAAF055NBF660LDSF53118,16-11-2021,success,JE474J453,1066
F38LNB27THSK740HPC114HALR00127,10-03-2021,success,DF592K694,1374
P83KOT85GNVO793QOI483CTHG41072,19-09-2021,success,YR058O045,1167
K83MCP58AHGU053KHP407WOYP73355,30-09-2021,success,KZ274Z395,959
Z93HSQ81NTVP542NUP821NEUT89270,25-07-2021,success,GJ306C092,471
I80CPA66WBML425AAV587ZQET09856,13-06-2021,success,MS747P519,782
B85UXR86AWWX893RKZ609REHG52861,17-01-2021,success,MB035Z896,592
I49VQJ65RFQA956AWB928LRIO35964,22-09-2021,success,QZ657G453,1077
F64UUE19PFIW187QPC820SDAJ53000,06-07-2021,success,CP042L193,1037
A13CFK74MCJE350ZQZ438ODEH45312,03-08-2021,success,UZ582P003,236
S61OWE95FZCZ662QWC277YNFQ70797,28-08-2021,success,LM067V409,1213
R65FHA30PVVL019RUP037FFTW85058,05-08-2021,success,PR826Y372,62
K92BKT44MHBG999KHW067ZXCH76713,05-04-2021,success,MB035Z896,1251
L69XGD40VGLY319HFK044OAUL27026,31-07-2021,success,AM337Z517,1223
O61RRF32QPCE561JEB314VSZI26440,04-03-2021,success,NP912R532,1376
M90HRX57QIGQ290MVO003EEGJ94162,19-11-2021,success,UA749I897,1019
S30XIU78EHTK322DUE944TEMZ82860,09-01-2021,success,JU146N698,1423
M87ZZR25CEHY646MLP710WKEA33934,17-04-2021,success,UP347B093,1309
Z25BEC34KVIL980XGK753WELI99185,26-02-2021,success,BE863M528,440
C30LFB46QVUK972UKP485CMVN01415,17-10-2021,success,DW925L350,1174
J58VZV48GBFT865GTJ709LNBZ54620,26-04-2021,success,QU249J633,1024
C57KWR56YNQR397DLY607GCEK40082,26-04-2021,success,LD359E820,607
O55GQE56XUPG177XFR771STBO65957,12-04-2021,success,LW030Y589,901
C46HVO94ZODW013UWF829RZPQ97512,28-11-2021,success,YD712U986,230
P91NKO40DHWJ605PCH079KYOL05818,08-07-2021,success,QW269R953,1094
R64AQX42EOHY258HAK190BFSM50335,09-07-2021,success,GJ306C092,1000
C67OBN76WCVJ092AXO923VWTI30913,25-11-2021,success,PL129R175,302
J47SSB42BIKQ946OUS191RHFM48159,04-09-2021,success,OD272X110,917
J42CQU45KTCM714RTT164FKAJ10373,11-07-2021,success,YX633B590,1245
M69NNP44PASJ311BFP502DWQH20602,16-05-2021,success,KM548Q959,78
J68KIM16WWLV168FHV312CWQO12662,24-08-2021,success,FN909L585,1209
M56HWS50TRBP187UFA643FCCR63298,04-06-2021,success,MM833C852,57
C37TLR46LKTA977REZ102NTCV64530,05-01-2021,success,TP822O849,571
B11QRL99NQAZ906HHC853YYSC78280,11-05-2021,success,TU390G865,336
S81LTM57OAKC009WRU249IJBO40195,04-09-2021,success,PM327G412,72
X24CPS42PYKM677JPA684DUIO99443,16-10-2021,success,XE113N275,576
I91QLT42KJTP624TKY243LYWV80090,02-05-2021,success,FI736B535,432
C10HUA14OZFH526RDZ936JLWE00126,29-01-2021,success,BH149V654,417
F26CPM77IGMQ146CCQ890BQJP65726,17-05-2021,success,PR468O699,286
Y90RAO34WOQE829CWZ080PKMG25028,21-12-2021,success,IX492B434,266
M26LNM89UGBP017YBQ484XPEQ46445,04-11-2021,success,HZ645T973,1194
O28EJR15PTPK012CBI026UVCJ58299,17-06-2021,success,BH149V654,136
C97RXT16REXS316NDO565VCCW34928,28-12-2021,success,RS673K258,1120
G02PFW07MRJJ695FUZ947XCDD82182,17-03-2021,success,UR168A810,11
Z02ODL71ITTG323FBB591SAKE24660,15-02-2021,success,AE932F890,689
E08IWA54UAMV979FPP523CXBY80586,31-01-2021,success,BT082T059,808
Y84IFJ44JTCD794PDK128DPZZ47167,28-04-2021,success,XE113N275,1029
B46ULT14DXMS446FUP110EYQS22365,18-07-2021,success,QZ593E107,1367
N34JCC57LEKJ784IGM794RSGN47283,03-08-2021,success,HD976I387,407
R25UOJ19WJYP310LJU995KKWP94525,05-12-2021,success,DD930T608,51
L70ZBL93JHTH838JPB136RGFQ54718,20-02-2021,success,GI743M359,102
O53CHN17JLTB325PJN505DGTB78417,27-02-2021,success,IS435E337,1089
O51PFD31KNHF577FRZ233IFQA18488,01-11-2021,success,CL316Z324,1226
Z58EIC97RSLH275GDO615KQCW41323,18-01-2021,success,UE432E775,461
P31PGH18OKTN259VCH021UJNM83533,04-08-2021,success,OF223M538,1343
L57NYX86YOHB608FJW804SWLP83173,02-06-2021,success,ZW458A642,850
V37XFV71AAZD743ZKD763FCZS28084,26-04-2021,success,DN368E177,1285
Y82FBT92UMFP816YRU633PMVO40650,30-11-2021,success,KP629H711,321
C11WEX56BBQZ238QUA422DQLA15274,12-08-2021,success,QX517Q200,684
S58RMN31YCFB868YRS402GXYW77783,10-04-2021,success,SU246J533,1305
A41IPC39ZKRE583XDN041DDEF96560,02-10-2021,success,IV974K425,337
M04TDM43LSJH087UAI575SFAW50668,13-07-2021,success,MW734K347,650
W76AQO91EIXC379KVA553FSDE71808,09-12-2021,success,DW925L350,326
F30LXT35EJAM648FSD252VKWV28173,03-06-2021,success,DQ023I339,1055
B64POX83UCVF679FPP618TIDE57790,14-10-2021,success,DW925L350,919
E98GUF21SUPG267YOX960JRUR62920,07-11-2021,success,WG627I524,731
G76ZFN97PJXS136QPO703FKXC83454,17-06-2021,success,PM327G412,1469
E14SEI79XTNC797ZLN100FBHQ44071,25-08-2021,success,QS374J978,473
B20UNV64EMKI609DTP087KXCI04279,11-07-2021,success,AS900A542,310
L58GCR03AOKU448MSL220OHPP12545,15-04-2021,success,ZK264F124,1034
I43GPX15KPVO327ZSY612OOTE92409,29-09-2021,success,LD291I745,1203
Q22BMA96HKCF814LPD567ZEQQ01936,02-06-2021,success,MM833C852,199
Z34TCI05BFVQ572ICT238DDFK78167,25-10-2021,success,ZP563J122,1360
P14VKK73TVSP690OGR621FYIP19684,19-06-2021,success,HQ337F504,921
B49DWZ89FJYK744GMD160ELQD80408,07-04-2021,success,QB920A514,659
E97MTH21USUN547OCG579PVSG29881,11-11-2021,success,DD930T608,591
F98PDC05NMDA786GHF740JFGD31377,01-02-2021,success,ZB213R307,606
P22PEB55XXVK696BJR754XBKG05545,19-03-2021,success,ZB213R307,979
E10KXY72KGOF602VCZ614TLWN95127,29-05-2021,success,DI049M389,230
M44VKR40ACBB763UTQ569MLLS62601,22-05-2021,success,VU380J665,740
W21UOH31DUSP735HQA585RQAH67959,27-04-2021,success,IT065U317,823
R63WWY95UHCS745OPB550KZBH07865,25-10-2021,success,RS673K258,508
T79UFV53WSTW046WCA672LHCP62824,20-08-2021,success,GM210Y799,561
L50PGU97HEZI383RVL779VBBU02001,10-06-2021,success,UE432E775,1456
Q64MAI32GWHF549YLZ167ZUEZ12939,24-08-2021,success,SZ751C533,561
T99EMG92FNBR033PHC103JFNM85401,04-08-2021,success,FI736B535,1157
L73EHO12ZHMV969WYX133VQLB09732,09-04-2021,success,HQ337F504,415
V38KDY79HOQA897HGI907LKKO53619,19-07-2021,success,HZ645T973,1097
M45TUR54QNOY716MDG124VIQP98422,30-07-2021,success,DQ023I339,747
M98DBE57BHTT065KEH407LYWC92425,16-03-2021,success,QS374J978,19
G87BMS12EWMT751MEY886FCAY20778,23-04-2021,success,OY075V727,226
T08MCR24XYPN787VDV810TUFA47987,14-08-2021,success,QS374J978,773
M45YXL15HKYC451TOQ142LEUJ78116,26-11-2021,success,CA623Z555,749
G56QLD31ZGYQ390EFT353HVSR75546,12-08-2021,success,ZB213R307,329
R47VBF22XHEH979RLM621OYNA37396,04-05-2021,success,GI743M359,405
P88JCZ83GMOH480EPU953CBFM45192,16-12-2021,success,ND024P655,1259
C63UKA04AMNU400XMF995STLP38390,03-06-2021,success,OD272X110,63
N94YBW58FBCZ299OJI794ZCXA95715,31-08-2021,success,YG069L426,754
A35JLN08FQDJ990LIR930SKPG38606,29-12-2021,success,XC661G681,1166
T40TEH43TKSX854JMX317VMZQ44181,14-03-2021,success,DF592K694,653
P69DAV73PGIM400IWX794TDHW17366,14-06-2021,success,DB683V706,681
A09YYC59EQZZ555SAS068MDLR23912,23-10-2021,success,AE308Y252,370
A67PMP33WZLN211XGN468GRGQ55006,16-08-2021,success,HQ337F504,258
J32TFF53OFNZ767MBG306PKNE85694,22-07-2021,success,IX492B434,1357
D82GAE96JMRG476OGL386EUVW33828,10-06-2021,success,JW544T657,1022
S98LLP40JWDA723CZQ071GOZT58357,13-02-2021,success,SO176P640,140
C56OVE27RJFT866QPC149IOHD60704,20-04-2021,success,UH755X473,854
J06ABC13NJDZ184GOI705JSQF70649,01-05-2021,success,HT389I373,141
R01OWF37FRVS484KFC812NPSG97012,05-02-2021,success,IV873P654,802
R58RSE24YLTL112CNE236GQVN78415,19-03-2021,success,LM067V409,146
X99XOS70FENJ652ROZ333OKSP86835,27-11-2021,success,VP679S874,590
W56URW60WETY101NEC515VJCM61491,24-09-2021,success,KN293Q053,829
O27AQK49XSMU623UGW760LYTP33778,09-06-2021,success,JM091Z485,47
F74NFJ89BRAX932AYR665JBMO14191,17-02-2021,success,QH500I762,1313
I88MCK86KKUA674BIA258GNQO48818,10-07-2021,success,IE884L371,394
Z31HWP73PVXA122LZL380UTXW20994,12-07-2021,success,ZA619Y077,1096
H94WOG80KWPL776XWW251MWNT72795,22-02-2021,success,PM280X224,732
D11TFV81GGQU794RQW758RDTA65918,28-08-2021,success,LX401F741,904
B13QKL37CRTR801BJV706ECWV00025,01-11-2021,success,BS468I461,650
